"key","message","comment","context"
"<i class=""fa fa-exclamation-triangle"" aria-hidden=""true""></i> The scheduler service is disabled.",,,"resources\views\Schedules.xml:19"
"Access error",,,"java\com\axelor\rpc\ResponseInterceptor.java:126"
"Action",,,"resources\domains\Meta.xml:109
resources\domains\Meta.xml:138
resources\domains\MetaJson.xml:80
resources\views\Group.xml:28
resources\views\Meta.xml:202
resources\views\User.xml:29"
"Action Menu",,,"resources\views\Meta.xml:299"
"Action Menus",,,"resources\views\Menu.xml:113
resources\views\Menu.xml:115
resources\views\Meta.xml:287"
"Action name can't be changed.",,,"java\com\axelor\meta\web\MetaController.java:116"
"Actions",,,"resources\views\Menu.xml:98"
"Activate on",,,"resources\domains\User.xml:28"
"Activate the user from the specified date.",,,"resources\domains\User.xml:28"
"Active",,,"resources\domains\MetaPermission.xml:12
resources\domains\MetaSchedule.xml:19
resources\domains\Team.xml:51"
"Address",,,"resources\domains\Mail.xml:12"
"Administration",,,"resources\views\Menu.xml:6"
"All Actions",,,"resources\views\Menu.xml:96
resources\views\Meta.xml:193"
"All Charts",,,"resources\views\Menu.xml:159
resources\views\Menu.xml:161
resources\views\Meta.xml:133"
"All Custom Views",,,"resources\views\Menu.xml:78
resources\views\Menu.xml:80"
"All Documents",,,"resources\views\DMS.xml:163
resources\views\DMS.xml:208"
"All Menu Help",,,"resources\views\Meta.xml:460"
"All Menus",,,"resources\views\Menu.xml:87"
"All Models",,,"resources\views\Menu.xml:60"
"All Modules",,,"resources\views\Menu.xml:51
resources\views\Meta.xml:76"
"All Schedules",,,"resources\views\Menu.xml:170
resources\views\Menu.xml:172"
"All Selects",,,"resources\views\Menu.xml:104
resources\views\Meta.xml:313"
"All Teams",,,"resources\views\Team.xml:140
resources\views\Team.xml:211"
"All Translations",,,"resources\views\Menu.xml:122
resources\views\Menu.xml:124
resources\views\Meta.xml:411"
"All View Help",,,"resources\views\Meta.xml:428"
"All Views",,,"resources\views\Menu.xml:69
resources\views\Meta.xml:117"
"All jobs have been restarted.",,,"java\com\axelor\meta\web\JobController.java:68"
"All the customizations will be lost. Are you sure?",,,"resources\views\Meta.xml:119"
"All views have been restored (%s).",,,"java\com\axelor\meta\web\MetaController.java:259"
"Allow",,,"resources\views\Permission.xml:26"
"Amber",,,"resources\views\Meta.xml:65"
"An unique permission name.",,,"resources\domains\Permission.xml:13"
"Application",,,"resources\domains\Meta.xml:19"
"Archived",,,"resources\views\Mail.xml:38
resources\views\Mail.xml:65
resources\views\Mail.xml:79"
"Assigned to",,,"resources\domains\Team.xml:30"
"Attached to",,,"resources\views\DMS.xml:150"
"Attributes",,,"resources\views\Team.xml:102"
"Attrs",,,"resources\domains\MetaJson.xml:90
resources\domains\Team.xml:31"
"Author",,,"resources\domains\Mail.xml:24"
"Authorization",,,"resources\views\User.xml:34"
"Authorized roles",,,"resources\domains\Team.xml:12"
"Black",,,"resources\views\Meta.xml:71"
"Block the user",,,"resources\domains\User.xml:27"
"Block the user for an indefinite period.",,,"resources\domains\User.xml:27"
"Blue",,,"resources\views\Meta.xml:57"
"Blue Grey",,,"resources\views\Meta.xml:70"
"Body",,,"resources\domains\Mail.xml:33"
"Boolean",,,"resources\views\MetaJson.xml:10"
