"key","message","comment","context"
"<i class=""fa fa-exclamation-triangle"" aria-hidden=""true""></i> The scheduler service is disabled.","<i class=""fa fa-exclamation-triangle"" aria-hidden=""true""></i> Le service de planificateur est désactivé.",,"resources\views\Schedules.xml:19"
"Access error","Erreur d'accès",,"java\com\axelor\rpc\ResponseInterceptor.java:126"
"Action","Action",,"resources\domains\Meta.xml:109
resources\domains\Meta.xml:138
resources\domains\MetaJson.xml:80
resources\views\Group.xml:28
resources\views\Meta.xml:202
resources\views\User.xml:29"
"Action Menu","Action de menu",,"resources\views\Meta.xml:299"
"Action Menus","Les Action Menus",,"resources\views\Menu.xml:113
resources\views\Menu.xml:115
resources\views\Meta.xml:287"
"Action name can't be changed.","Le nom de l'action ne peut pas être changé.",,"java\com\axelor\meta\web\MetaController.java:116"
"Actions","Les Actions",,"resources\views\Menu.xml:98"
"Activate on","Autoriser à partir de",,"resources\domains\User.xml:28"
"Activate the user from the specified date.","Active l'utilisateur à partir de la date spécifiée.",,"resources\domains\User.xml:28"
"Active","Actif",,"resources\domains\MetaPermission.xml:12
resources\domains\MetaSchedule.xml:19
resources\domains\Team.xml:51"
"Address","Adresse",,"resources\domains\Mail.xml:12"
"Administration","Administration",,"resources\views\Menu.xml:6"
"All Actions","Les Actions",,"resources\views\Menu.xml:96
resources\views\Meta.xml:193"
"All Charts","Les Graphiques",,"resources\views\Menu.xml:159
resources\views\Menu.xml:161
resources\views\Meta.xml:133"
"All Custom Views","Toutes les vues personnalisées",,"resources\views\Menu.xml:78
resources\views\Menu.xml:80"
"All Documents","Tous les fichiers",,"resources\views\DMS.xml:163
resources\views\DMS.xml:208"
"All Menu Help","Aide de tous les menus",,"resources\views\Meta.xml:460"
"All Menus","Les Menus",,"resources\views\Menu.xml:87"
"All Models","Les Modèles",,"resources\views\Menu.xml:60"
"All Modules","Les Modules",,"resources\views\Menu.xml:51
resources\views\Meta.xml:76"
"All Schedules","Les Planificateurs",,"resources\views\Menu.xml:170
resources\views\Menu.xml:172"
"All Selects","Les Sélections",,"resources\views\Menu.xml:104
resources\views\Meta.xml:313"
"All Teams","Toutes les équipes",,"resources\views\Team.xml:140
resources\views\Team.xml:211"
"All Translations","Les Traductions",,"resources\views\Menu.xml:122
resources\views\Menu.xml:124
resources\views\Meta.xml:411"
"All View Help","Aide de toutes les vues",,"resources\views\Meta.xml:428"
"All Views","Les Vues",,"resources\views\Menu.xml:69
resources\views\Meta.xml:117"
"All jobs have been restarted.","Toutes les instances ont été redémarrées.",,"java\com\axelor\meta\web\JobController.java:68"
"All the customizations will be lost. Are you sure?","Tous les changements seront perdus. Voulez-vous continuer ?",,"resources\views\Meta.xml:119"
"All views have been restored (%s).","Toutes les vues ont été restaurées (%s).",,"java\com\axelor\meta\web\MetaController.java:259"
"Allow","Autorisations",,"resources\views\Permission.xml:26"
"Amber","Ambre",,"resources\views\Meta.xml:65"
"An unique permission name.","Nom unique de la permission",,"resources\domains\Permission.xml:13"
"Application","Application",,"resources\domains\Meta.xml:19"
"Archived","Archivé",,"resources\views\Mail.xml:38
resources\views\Mail.xml:65
resources\views\Mail.xml:79"
"Assigned to","Assigné à",,"resources\domains\Team.xml:30"
"Attached to","Attaché à",,"resources\views\DMS.xml:150"
"Attributes","Attributs",,"resources\views\Team.xml:102"
"Attrs","Attrs",,"resources\domains\MetaJson.xml:90
resources\domains\Team.xml:31"
"Author","Auteur",,"resources\domains\Mail.xml:24"
"Authorization","Autorisation",,"resources\views\User.xml:34"
"Authorized roles","Rôles autorisés",,"resources\domains\Team.xml:12"
"Black","Noir",,"resources\views\Meta.xml:71"
"Block the user","Bloquer l’utilisateur",,"resources\domains\User.xml:27"
"Block the user for an indefinite period.","Bloquer l’utilisateur pour une période indéterminée.",,"resources\domains\User.xml:27"
"Blue","Bleu",,"resources\views\Meta.xml:57"
"Blue Grey","Bleu-gris",,"resources\views\Meta.xml:70"
"Body","Corps",,"resources\domains\Mail.xml:33"
"Boolean","Booléen",,"resources\views\MetaJson.xml:10"
"Brown","Marron",,"resources\views\Meta.xml:68"
"Button","Bouton",,"resources\views\MetaJson.xml:16"
"Calendar","Calendrier",,"resources\views\Meta.xml:12"
"Can customize","Peut personnaliser",,"resources\domains\Group.xml:31"
"Can read","Peut lire",,"resources\views\DMS.xml:80"
"Can share","Peut partager",,"resources\domains\Group.xml:32
resources\views\DMS.xml:82"
"Can write","Peut écrire",,"resources\views\DMS.xml:81"
"Canceled","Annulé",,"resources\views\Team.xml:10"
